"","gene"
"1","g18"
"2","g48"
"3","g55"
"4","g58"
"5","g60"
"6","g66"
"7","g73"
"8","g79"
"9","g83"
"10","g91"
"11","g93"
"12","g94"
"13","g99"
"14","g105"
"15","g109"
"16","g132"
"17","g135"
"18","g137"
"19","g138"
"20","g172"
"21","g260"
"22","g290"
"23","g301"
"24","g329"
"25","g352"
"26","g355"
"27","g362"
"28","g363"
"29","g368"
"30","g383"
"31","g388"
"32","g389"
"33","g390"
"34","g391"
"35","g406"
"36","g417"
"37","g431"
"38","g432"
"39","g440"
"40","g461"
"41","g462"
"42","g498"
"43","g519"
"44","g527"
"45","g531"
"46","g532"
"47","g538"
"48","g572"
"49","g575"
"50","g576"
"51","g577"
"52","g585"
"53","g615"
"54","g619"
"55","g663"
"56","g669"
"57","g751"
"58","g753"
"59","g766"
"60","g768"
"61","g788"
"62","g802"
"63","g804"
"64","g838"
"65","g851"
"66","g854"
"67","g864"
"68","g892"
"69","g893"
"70","g898"
"71","g919"
"72","g932"
"73","g971"
"74","g980"
