"","gene"
"1","g1"
"2","g2"
"3","g3"
"4","g4"
"5","g5"
"6","g10"
"7","g11"
"8","g12"
"9","g14"
"10","g15"
"11","g16"
"12","g18"
"13","g21"
"14","g22"
"15","g23"
"16","g24"
"17","g25"
"18","g26"
"19","g28"
"20","g29"
"21","g35"
"22","g36"
"23","g37"
"24","g38"
"25","g39"
"26","g40"
"27","g41"
"28","g42"
"29","g44"
"30","g45"
"31","g46"
"32","g47"
"33","g48"
"34","g49"
"35","g50"
"36","g51"
"37","g52"
"38","g53"
"39","g54"
"40","g55"
"41","g56"
"42","g57"
"43","g58"
"44","g59"
"45","g60"
"46","g61"
"47","g62"
"48","g63"
"49","g64"
"50","g65"
"51","g66"
"52","g67"
"53","g68"
"54","g69"
"55","g70"
"56","g71"
"57","g72"
"58","g73"
"59","g74"
"60","g75"
"61","g76"
"62","g77"
"63","g78"
"64","g79"
"65","g80"
"66","g81"
"67","g82"
"68","g83"
"69","g84"
"70","g85"
"71","g86"
"72","g87"
"73","g88"
"74","g89"
"75","g90"
"76","g91"
"77","g92"
"78","g93"
"79","g94"
"80","g95"
"81","g96"
"82","g97"
"83","g98"
"84","g99"
"85","g100"
"86","g101"
"87","g102"
"88","g103"
"89","g104"
"90","g105"
"91","g106"
"92","g107"
"93","g108"
"94","g109"
"95","g110"
"96","g111"
"97","g112"
"98","g113"
"99","g114"
"100","g115"
"101","g116"
"102","g117"
"103","g118"
"104","g119"
"105","g120"
"106","g130"
"107","g131"
"108","g132"
"109","g133"
"110","g134"
"111","g135"
"112","g136"
"113","g137"
"114","g138"
"115","g139"
"116","g140"
"117","g142"
"118","g147"
"119","g148"
"120","g151"
"121","g152"
"122","g153"
"123","g154"
"124","g155"
"125","g156"
"126","g157"
"127","g158"
"128","g159"
"129","g160"
"130","g165"
"131","g171"
"132","g172"
"133","g173"
"134","g174"
"135","g175"
"136","g176"
"137","g177"
"138","g178"
"139","g179"
"140","g180"
"141","g194"
"142","g196"
"143","g200"
"144","g204"
"145","g210"
"146","g221"
"147","g223"
"148","g233"
"149","g239"
"150","g241"
"151","g242"
"152","g243"
"153","g244"
"154","g252"
"155","g258"
"156","g260"
"157","g263"
"158","g264"
"159","g268"
"160","g274"
"161","g280"
"162","g281"
"163","g284"
"164","g285"
"165","g286"
"166","g287"
"167","g288"
"168","g290"
"169","g292"
"170","g294"
"171","g295"
"172","g296"
"173","g297"
"174","g298"
"175","g299"
"176","g301"
"177","g309"
"178","g311"
"179","g312"
"180","g313"
"181","g314"
"182","g315"
"183","g316"
"184","g320"
"185","g321"
"186","g322"
"187","g323"
"188","g324"
"189","g327"
"190","g329"
"191","g331"
"192","g332"
"193","g333"
"194","g334"
"195","g335"
"196","g336"
"197","g337"
"198","g339"
"199","g344"
"200","g347"
"201","g348"
"202","g351"
"203","g352"
"204","g353"
"205","g354"
"206","g355"
"207","g356"
"208","g357"
"209","g358"
"210","g359"
"211","g360"
"212","g361"
"213","g362"
"214","g363"
"215","g364"
"216","g365"
"217","g366"
"218","g367"
"219","g368"
"220","g369"
"221","g370"
"222","g372"
"223","g374"
"224","g377"
"225","g378"
"226","g379"
"227","g380"
"228","g381"
"229","g382"
"230","g383"
"231","g384"
"232","g385"
"233","g386"
"234","g387"
"235","g388"
"236","g389"
"237","g390"
"238","g391"
"239","g392"
"240","g396"
"241","g400"
"242","g401"
"243","g402"
"244","g403"
"245","g404"
"246","g405"
"247","g406"
"248","g407"
"249","g408"
"250","g409"
"251","g410"
"252","g411"
"253","g413"
"254","g415"
"255","g416"
"256","g417"
"257","g418"
"258","g419"
"259","g421"
"260","g423"
"261","g425"
"262","g429"
"263","g430"
"264","g431"
"265","g432"
"266","g433"
"267","g434"
"268","g435"
"269","g436"
"270","g437"
"271","g438"
"272","g439"
"273","g440"
"274","g445"
"275","g450"
"276","g453"
"277","g455"
"278","g459"
